id,name,sku,upc,url_key,image,description,special_price,regular_price,tier_prices,min price,categories,status
4999,Colored Wooden Beads Counter Top Display,CC100,731015066124,colored-wooden-beads-counter-top-display,"https://www.koleimports.com/media/catalog/product/C/C/CC100_1.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Hours of crafting fun can be had with these Assorted Colored Wooden Beads. Various shapes, sizes and colors of beads come in the display. Great for making jewelry, decorating and more. Each set comes packaged in a poly bag with a header card. Package measures approximately 4.25"" x 3.5"" x 1"". Counter top display comes with 150 packages.  ,Colored Wooden Beads Counter Top Display,Cuentas De Madera C/Exhibidor",,0.64,,0.64,"Crafts, Beads",IN_STOCK
48713,Momenta Puffy Gold Stickers with 17 Fath-Based Phrases,CH423,760899349177,momenta-puffy-gold-stickers-with-17-fath-based-phrases,"https://www.koleimports.com/media/catalog/product/C/H/CH423.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Share your happiness with the Golden Puffy Faith-Based Stickers from Momenta. Stick them throughout your house as positive affirmations or perfect little reasons to smile. Also perfect to give to religious friends, bring to church gatherings, etc. There are 17 adorable faith-based phrase stickers included in the package with the words ""gather,"" ""faith,"" ""love,"" ""home"" and more, written in a beautiful calligraphy print. 
,Momenta Puffy Gold Stickers with 17 Fath-Based Phrases,",,0.47,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
27323,Baseball Mom Phone Stones Sticker,CG162,673807971639,baseball-mom-phone-stones-sticker,"https://www.koleimports.com/media/catalog/product/C/G/CG162.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Beautify your phone with this fun Baseball Mom Phone Stones Sticker. Includes one sheet with one jeweled sticker. Comes packaged in a poly bag with a header card. Package measures approximately 5.25""; x 2.75"";.",,0.47,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
48725,40 Piece Blue Script Alphabet Stickers,CH435,760899346923,40-piece-blue-script-alphabet-stickers,"https://www.koleimports.com/media/catalog/product/C/H/CH435.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Get a total of 40 Blue Script Cursive Alphabet Stickers. Create an assortment of words or fun yet motivational messages with these large Blue Script Alphabet letters. Beautiful letters for boy baby shower parties or male gender reveal! Children will love to use them for their room decor. The stickers come packaged in a polybag with a panel.,40 Piece Blue Script Alphabet Stickers,",,0.65,"0.54,0.49",0.49,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
4992,Colorful Craft Feathers,CC085,731015057061,colorful-craft-feathers,"https://www.koleimports.com/media/catalog/product/C/C/CC085.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Great for art projects, accessory embellishment and more, this bag of Colorful Craft Feathers features natural feathers in a variety of colors including yellow, green, red and pink. Feather sizes range from 1 1/4"" to 4 3/4"".  Contains 14 grams.  Comes packaged in a poly bag with header card. ,Colorful Craft Feathers,Plumas X14 Gramos",,0.96,"0.8,0.73",0.73,"Crafts, Craft Feathers",IN_STOCK
9268,Acrylic Artist Brushes Set,GO061,731015015108,acrylic-artist-brushes-set,"https://www.koleimports.com/media/catalog/product/G/O/GO061_3.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Great for an array of craft and artwork projects, this 5-piece Artist Brushes Set features high quality brushes with pig hair tips and wooden handles in an assortment of sizes. Sizes are: 0, 4, 8, 12 and 16. Comes packaged in blister pack.,Acrylic Artist Brushes Set,Pinceles Negros 5Pzas",,1.15,"0.96,0.87",0.87,"Crafts, Painting",IN_STOCK
5553,Plastic Craft Wiggly Eyes,CC988,731015131068,plastic-craft-wiggly-eyes,"https://www.koleimports.com/media/catalog/product/C/C/CC988_1.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Give crafting projects expression and whimsy! Wiggly eyes are perfect for doll makers, creating personalized cards or scrapbooking embellishments. They move and shake in all directions. Eyes are made of plastic with a black disk inside. There are over 150 assorted size eyes per bag. Eyes measure approximately 15/16"", 15/32"" and 13/32"" in diameter. Not recommended for children under 3. Comes packaged in a poly bag with a header card.,Plastic Craft Wiggly Eyes,Ojitos Para Manualidades",,1.08,"0.9,0.82",0.82,"Crafts, Googly Eyes",IN_STOCK
5073,Peel & Stick Foam Happy Face Craft Shapes,CC236,731015157112,peel-stick-foam-happy-face-craft-shapes,"https://www.koleimports.com/media/catalog/product/C/C/CC236.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Great for encouraging students, decorating notebooks or diaries, Peel & Stick Foam Happy Face Craft Shapes are also a fun addition to sticker collections. Each pack comes with yellow stickers with black happy faces. Comes in 3 assorted sizes per bag. Measurements range from approximately 3/4"" to 1 1/2"". Comes packaged in a poly bag with a header card.,Peel & Stick Foam Happy Face Craft Shapes,Formas P/Manualidades/Esponja",,0.98,"0.81,0.74",0.74,"Crafts, Foam Shapes",IN_STOCK
5556,Chenille Color Craft Stems,CC991,731015132683,chenille-color-craft-stems,"https://www.koleimports.com/media/catalog/product/C/C/CC991.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for all creative projects, this 30-piece Chenille Color Craft Stems Set features flexible wires with colorful fuzzy coverings.  There are six of each of the following colors: blue, green, red, white and yellow.  Each stem measures approximately 11 3/4"" long.  Comes packaged in a poly bag with a header card.,Chenille Color Craft Stems,Tallos Para Manualidades",,0.9,"0.75,0.68",0.68,"Closeouts, Crafts, Craft Pipe Cleaners, Specials",IN_STOCK
58226,8 Piece 14 cm Glitter Foam Apples,CH656,735852942955,8-piece-14-cm-glitter-foam-apples-ch656,"https://www.koleimports.com/media/catalog/product/C/H/CH656.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These foam apples are the perfect addition to birthday, Christmas, Valentine's Day, Mother's or Father's Day, and especially cliché Teacher Appreciation Week gifts! Simply stick them onto a gift bag or wrapped present and voila -- a beautiful glittery decoration to top off your appreciation to someone. The eight shimmery apple shapes come in four colors, two of each; red, gold, blue, and green. They come packaged together, and each measure 14cm. ,8 Piece 14 cm Glitter Foam Apples,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Foam Shapes, Specials",IN_STOCK
56581,190pc Black Googly Eyes,CH544,740512752171,190pc-black-googly-eyes-ch544,"https://www.koleimports.com/media/catalog/product/C/H/CH544.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These 190 Black Googly Eyes will definitely come in handy during the spooky season! Use them as eyes on paper mache people, as a sinister topping to a Halloween decoration, or even use them to create fun happy faces on gift cards. They are flat back, round-shaped, traditional black and white googly eyes. They measure approximately 10mm, and 190 of them come packaged in a hanging polybag.,190pc Black Googly Eyes,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Do-it-yourself Craft Kits, Specials",IN_STOCK
57201,DoodleFormz Do-It-Yourself Sea Life Themed Art Kit with Magnets,CA617,8463760728317,doodleformz-do-it-yourself-sea-life-themed-art-kit-with-magnets-ca617,"https://www.koleimports.com/media/catalog/product/C/A/CA617.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","The Do-It-Yourself color-in art kit is perfect to keep kids entertained at home or at restaurants while still exercising their artistic skills! This specific kit comes with two pre-sketched doodles ready to be colored and three air-dried squishy dough colors to be stuck onto the two pre-drawn sketches. Those three colors are pink, blue, and yellow. The finger dough colors prevent a mess and are easier for your kids to play with, and they also bring a 3D effect to the doodles! The two pre-sketched doodles come with magnetic backings to hang up your masterpiece when done! The two doodles are an octopus and a sea star. All this fun comes packaged inside of a hanging blister pack.,DoodleFormz Do-It-Yourself Sea Life Themed Art Kit with Magnets,",,1.32,"1.1,1",1,"Closeouts, Crafts, Do-it-yourself Craft Kits, Specials",IN_STOCK
48594,4 Piece White and Silver Tissue Paper Flowers,CH313,760899275865,4-piece-white-and-silver-tissue-paper-flowers,"https://www.koleimports.com/media/catalog/product/C/H/CH313.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These four White and Silver Flowers made out of Tissue Paper are the perfect topping to a Christmas or birthday present! They make for really cute decorations for all kinds of presents such as baby showers, gender reveals, and other such holidays. You can even paint them red and use them to show your love for your significant other on Valentine's day! They come packaged together and measure approximately the size of an average flower. ,4 Piece White and Silver Tissue Paper Flowers,",,0.65,"0.54,0.49",0.49,"Closeouts, Crafts, Craft Embellishments, Specials",IN_STOCK
49850,Felt Puppet Kit,CH527,008311495911,felt-puppet-kit,"https://www.koleimports.com/media/catalog/product/C/H/CH527-1.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Felt Puppet Kit,",,0.65,"0.54,0.49",0.49,"Closeouts, Crafts, Painting",IN_STOCK
38833,Faceted Heart Craft Rhinestones,AC017,731015251957,faceted-heart-craft-rhinestones,"https://www.koleimports.com/media/catalog/product/A/C/AC017.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Make craft projects shine with these Faceted Heart Craft Rhinestones featuring colorful acrylic gems with silver color backings. Rhinestones come in pink, blue and purple.  Rhinestones measure approximately 0.25"" x 0.375"".  For ages 3 and up. Comes packaged in poly bags with a header card.,Faceted Heart Craft Rhinestones,",,0.73,"0.61,0.55",0.55,"Closeouts, Crafts, Rhinestones, Specials",IN_STOCK
57959,10 Piece 2.5 Inch White Foam Hearts,CH599,735852937326,10-piece-2-5-inch-white-foam-hearts-ch599,"https://www.koleimports.com/media/catalog/product/C/H/CH599.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These foam hearts are the perfect addition to birthday, Christmas, Valentine's Day, and even Mother's or Father's Day gifts! Simply stick them onto or insert them into a gift bag or wrapped present and voila -- a beautiful and sleek decoration to top off your appreciation to someone. You can even write a special word or message on them! The ten white voluminous hearts comes packaged together and measure approximately 2.5 inches each.,10 Piece 2.5 Inch White Foam Hearts,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Foam Shapes, Specials",IN_STOCK
48721,Momenta 9 Piece Wooden Stickers with Assorted Phrases,CH431,760899313048,momenta-9-piece-wooden-stickers-with-assorted-phrases,"https://www.koleimports.com/media/catalog/product/C/H/CH431.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Share your happiness with the Wooden Print assorted phrases Stickers with Gems from Momenta. Stick them throughout your house as positive affirmations or perfect little reasons to smile and continue on by reminding yourself to persevere. Also perfect to give to friends, other family members, coworkers, etc. There are 9 adorable inspirational phrases as stickers included in the package, with phrases such as ""beautiful,"" ""awesome,"" ""sparkle,"" and more, written in a beautiful golden bold calligraphy print.,Momenta 9 Piece Wooden Stickers with Assorted Phrases,",,0.47,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
48670,Momenta 11 Piece Chipboard Stickers,CH382,760899255706,momenta-11-piece-chipboard-stickers,"https://www.koleimports.com/media/catalog/product/C/H/CH382.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Momenta 11 Piece Chipboard Stickers,",,0.47,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
58223,8 Piece 14 cm Glitter Foam Butterflies,CH655,735852945949,8-piece-14-cm-glitter-foam-butterflies-ch655,"https://www.koleimports.com/media/catalog/product/C/H/CH655.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These foam butterflies are the perfect addition to birthday, Christmas, Valentine's Day, and even Mother's or Father's Day gifts! Simply stick them onto a gift bag or wrapped present and voila -- a beautiful glittery decoration to top off your appreciation to someone. The eight shimmery butterfly shapes come in four colors, two of each; red, gold, blue, and green. They come packaged together, and each measure 14cm. ,8 Piece 14 cm Glitter Foam Butterflies,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Foam Shapes, Specials",IN_STOCK
57986,4 Meter Green Craft Wire,CH608,735852938248,4-meter-green-craft-wire-ch608,"https://www.koleimports.com/media/catalog/product/C/H/CH608.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","The possibilities are endless with this 4-meter dark emerald green aluminum craft wire! You can use this wire to craft beautiful jewelry, scrapbook decor, invitations, cards, gifts, and much more by simply bending, twisting, or gluing the wire on in your desired pattern! The thin wire is strong enough for large projects but light enough to wear as jewelry or add to everyday items for a little more style. ,4 Meter Green Craft Wire,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Craft Embellishments, Specials",IN_STOCK
48702,Momenta Gold Stickers with 34 Faith-Based Phrases,CH413,760899317008,momenta-gold-stickers-with-34-faith-based-phrases,"https://www.koleimports.com/media/catalog/product/C/H/CH413.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Share your happiness with the Golden Puffy Faith-Based Stickers from Momenta. Stick them throughout your house as positive affirmations or perfect little reasons to smile. Also perfect to give to religious friends, bring to church gatherings, etc. There are 34 adorable faith-based phrase stickers included in the package with the words ""blessed,"" ""faith,"" ""thankful,"" ""joyful"" and more, written in a beautiful calligraphy print. ,Momenta Gold Stickers with 34 Faith-Based Phrases,",,0.47,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
48730,64 Piece Momenta Cardstock Letter Stickers in Gold,CH440,760899347470,64-piece-momenta-cardstock-letter-stickers-in-gold,"https://www.koleimports.com/media/catalog/product/C/H/CH440.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Get a total of 64 Momenta bright shiny Golden Cardstock Letter Stickers. Create an assortment of words or fun yet motivational messages with these large letters. Beautiful letters for baby shower parties, pool parties, beach parties, or gender reveal celebrations! Children will love to use them for their room decor. The stickers come packaged in a polybag with a panel.,64 Piece Momenta Cardstock Letter Stickers in Gold,",,0.78,"0.65,0.59",0.59,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
55355,75 Pack Adhesive Wiggly Eyes,CH533,765940169001,75-pack-adhesive-wiggly-eyes-ch533,"https://www.koleimports.com/media/catalog/product/C/H/CH533.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for adding a fun touch to school projects, invitations, scrapbooks, and more, these Craft Wiggly Eyes feature black and white plastic eyes in assorted sizes. Great for adding a whimsical touch to holiday projects. The package contains 75 adhesive wiggly eyes. There are 3 assorted sizes per package: large(.2""), medium(.6""), and  and small (5mm-15mm). Comes packaged in a poly bag with header card.,75 Pack Adhesive Wiggly Eyes,",,0.52,"0.43,0.39",0.39,"Closeouts, Crafts, Googly Eyes, Specials",IN_STOCK
48653,Momenta Stickers with 16 Dog Word Images,CH365,760899202380,momenta-stickers-with-16-dog-word-images,"https://www.koleimports.com/media/catalog/product/C/H/CH365.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Decorate your puppy or small dog's house, essentials bag, or vet carrying case with these dog-themed momenta stickers! The stickers include all kinds of dog-themed images such as a bowl of food that reads ""dog's dinner,"" a bone that reads ""dog eat,"" and 14 other stickers adorable stickers with phrases. The panel of stickers comes packaged in a long hanging polybag. ,Momenta Stickers with 16 Dog Word Images,",,0.46,"0.39,0.35",0.35,"Closeouts, Crafts, Specials, Craft Stickers",IN_STOCK
