title,item_no,image,price,description,more_detail,colors,item_size,origin,category,sub_category,upc,packed_in,item_weight,minimum_quantity,case_dimensions,case_pack,inner_pack,case_weight,case_cube,url
Wholesale Universal Car Phone Holder 72pc display Universal Car Phone Holder Mount for any car 72pc display with rack, 2-MOUNT-DSP,https://www.deluxegm.com/_products/_250x250/2-MOUNT-DSP.jpg,$2.60, Wholesale Universal Car Phone Holder 72pc display, Universal Car Phone Holder Mount for any car 72pc display with rack,,,China,Cell Phone Accessories,Mounts & Stands,788914016415,Bulk,12,1,"20"" x 16"" x 12""",1,1,12,2.22,https://www.deluxegm.com/products/?2-MOUNT-DSP
Wholesale 24pc Power Bank Charger Display 24pc Power Bank Charger Display, 26-1019,https://www.deluxegm.com/_products/_250x250/26-1019.jpg,$4.50, Wholesale 24pc Power Bank Charger Display, 24pc Power Bank Charger Display,,,China,Cell Phone Accessories,Wireless Chargers & Power Banks,788914547551,Bulk,8,1,"18"" x 14"" x 7""",1,1,8,1.02,https://www.deluxegm.com/products/?26-1019
Wholesale 5 Style Ear Buds 120 pc Display 5 Style Ear Buds with Spinner 120 pc Display, 107-EARBUDS,https://www.deluxegm.com/_products/_250x250/107-EARBUDS.jpg,$2.40, Wholesale 5 Style Ear Buds 120 pc Display, 5 Style Ear Buds with Spinner 120 pc Display,,,China,Cell Phone Accessories,Earbuds & Headphones,788914547506,Bulk,20,1,"20"" x 16"" x 19""",1,1,20,3.52,https://www.deluxegm.com/products/?107-EARBUDS
"Wholesale 36 Pc 3Ft IP 5,6,7,8 and X Nylon Charging Data Cable 36 Pc 3Ft IP 5,6,7,8 and X Nylon Charging Data Cable Compatible Iphone 6 Micro Usb Sync Data", 2-JAR-54,https://www.deluxegm.com/_products/_250x250/2-JAR-54.jpg,$1.20," Wholesale 36 Pc 3Ft IP 5,6,7,8 and X Nylon Charging Data Cable"," 36 Pc 3Ft IP 5,6,7,8 and X  Nylon Charging Data Cable Compatible Iphone 6 Micro Usb Sync Data",,,China,Cell Phone Accessories,Charging Cables,788914545335,Bulk,4,1,"12"" x 8"" x 7""",1,1,4,0.39,https://www.deluxegm.com/products/?2-JAR-54
Wholesale 24pc Water Proof Phone Case Counter Display 24pc Water Proof Phone Case Counter Display, 26-1047,https://www.deluxegm.com/_products/_250x250/26-1047.jpg,$3.00, Wholesale 24pc Water Proof Phone Case Counter Display, 24pc Water Proof Phone Case Counter Display,,,China,Cell Phone Accessories,Phone Accessories,788914914186,Bulk,6,1,"18"" x 14"" x 7""",1,1,6,1.02,https://www.deluxegm.com/products/?26-1047
Wholesale Cell Phone Mount display 96pc 96pc cell phone mount display. Fits all vents and includes floor display, 2-VENT-DSP,https://www.deluxegm.com/_products/_250x250/2-VENT-DSP.jpg,$2.00, Wholesale Cell Phone Mount display 96pc, 96pc cell phone mount display. Fits all vents and includes floor display,,,China,Cell Phone Accessories,Mounts & Stands,788914010673,Bulk,18,1,"20"" x 16"" x 12""",1,1,18,2.22,https://www.deluxegm.com/products/?2-VENT-DSP
"Wholesale 10ft Phone Cord 96pc Display 10ft Phone Cord 96pc Display. Includes 48 for Iphone, 24 for Android and 24 for TYPE-C phones.", 100-ROUND-96,https://www.deluxegm.com/_products/_250x250/100-ROUND-96.jpg,$3.60, Wholesale 10ft Phone Cord 96pc Display," 10ft Phone Cord 96pc Display. Includes 48 for Iphone, 24 for Android and 24 for TYPE-C phones. ",,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,25,1,"22"" x 19"" x 7""",1,1,25,1.69,https://www.deluxegm.com/products/?100-ROUND-96
Wholesale 48pc Key Ring Charger Display 48pc Key Ring Charger Display, 26-1031,https://www.deluxegm.com/_products/_250x250/26-1031.jpg,$2.50, Wholesale 48pc Key Ring Charger Display, 48pc Key Ring Charger Display,,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,3,1,"18"" x 14"" x 7""",1,1,3,1.02,https://www.deluxegm.com/products/?26-1031
Wholesale 24pc Magnetic Car Vent Phone Holder Display 24pc Magnetic Car Vent Phone Holder Display, 26-1018,https://www.deluxegm.com/_products/_250x250/26-1018.jpg,$3.60, Wholesale 24pc Magnetic Car Vent Phone Holder Display, 24pc Magnetic Car Vent Phone Holder Display,,,China,Cell Phone Accessories,Mounts & Stands,788914020504,Bulk,8,1,"18"" x 14"" x 7""",1,1,8,1.02,https://www.deluxegm.com/products/?26-1018
Wholesale 24pc Charge Station Display 24pc Charge Station Display. Assorted: iPhone Android and Type C, 26-1020,https://www.deluxegm.com/_products/_250x250/26-1020.jpg,$3.00, Wholesale 24pc Charge Station Display, 24pc Charge Station Display. Assorted: iPhone Android and Type C ,,,China,Cell Phone Accessories,Mounts & Stands,788312914870,Bulk,6,1,"18"" x 14"" x 7""",1,1,6,1.02,https://www.deluxegm.com/products/?26-1020
Wholesale 24pc Selfie Stick Display 24pc Selfie Stick Display, 26-1010,https://www.deluxegm.com/_products/_250x250/26-1010.jpg,$1.50, Wholesale 24pc Selfie Stick Display, 24pc Selfie Stick Display,,,China,Cell Phone Accessories,Phone Accessories,788914914223,Bulk,9,1,"18"" x 14"" x 7""",1,1,9,1.02,https://www.deluxegm.com/products/?26-1010
Wholesale 48pc Finger Socket Phone Holder Display 48pc Finger Socket Phone Holders with two car mounts and display rack., 26-1005,https://www.deluxegm.com/_products/_250x250/26-1005.jpg,$1.20, Wholesale 48pc Finger Socket Phone Holder Display, 48pc Finger Socket Phone Holders with two car mounts and display rack.,,,China,Cell Phone Accessories,Phone Accessories,788914547711,Bulk,5,1,"18"" x 14"" x 7""",1,1,5,1.02,https://www.deluxegm.com/products/?26-1005
Wholesale 36pc Ear Bud Display. 6 assorted designs 36pc Ear Bud Display. 6 assorted designs, 26-1006,https://www.deluxegm.com/_products/_250x250/26-1006.jpg,$2.40, Wholesale 36pc Ear Bud Display. 6 assorted designs, 36pc Ear Bud Display. 6 assorted designs ,,,China,Cell Phone Accessories,Earbuds & Headphones,788914547506,Bulk,5,1,"18"" x 14"" x 7""",1,1,5,1.02,https://www.deluxegm.com/products/?26-1006
"Wholesale 36pc Bracelet Charger Cord and Display 36pc Bracelet Charger Cord and Display. Packed: 18 iPhone, 9 Type C, and 9 Android cords", 26-1021,https://www.deluxegm.com/_products/_250x250/26-1021.jpg,$1.50, Wholesale 36pc Bracelet Charger Cord and Display," 36pc Bracelet Charger Cord and Display. Packed: 18 iPhone, 9 Type C, and 9 Android cords",,,China,Cell Phone Accessories,Charging Cables,788312915068,Bulk,6,1,"18"" x 14"" x 7""",1,1,6,1.02,https://www.deluxegm.com/products/?26-1021
Wholesale 96pc Cell Phone Charging Dock Tub 96pc Cell Phone Hanging Charging Dock in assorted colors, 2-JAR-69,https://www.deluxegm.com/_products/_250x250/2-JAR-69.jpg,$0.39, Wholesale 96pc Cell Phone Charging Dock Tub, 96pc Cell Phone Hanging Charging Dock in assorted colors ,,,China,Cell Phone Accessories,Mounts & Stands,788312914856,Bulk,5,1,"12"" x 8"" x 6""",1,1,5,0.33,https://www.deluxegm.com/products/?2-JAR-69
"Wholesale 24Pc 10Ft IP 5,6,7,8 and X Nylon Charging Data Cable 24Pc 10Ft IP 5,6,7,8 and X Nylon Charging Data Cable Compatible Iphone 6 Micro Usb Sync Data", 2-JAR-50,https://www.deluxegm.com/_products/_250x250/2-JAR-50.jpg,$3.24," Wholesale 24Pc 10Ft IP 5,6,7,8 and X  Nylon Charging Data Cable"," 24Pc 10Ft  IP 5,6,7,8 and X Nylon Charging Data Cable Compatible Iphone 6 Micro Usb Sync Data",,,China,Cell Phone Accessories,Charging Cables,789914545295,Bulk,4,1,"12"" x 5"" x 8""",1,1,4,0.28,https://www.deluxegm.com/products/?2-JAR-50
Wholesale 48pc Tripple Charger Pull & Lock with 4 clip strips 48pc Tripple Charger Pull & Lock with 4 clip strips, 2-PULL-CS48,https://www.deluxegm.com/_products/_250x250/2-PULL-CS48.jpg,$5.00, Wholesale 48pc Tripple Charger Pull & Lock with 4 clip strips, 48pc Tripple Charger Pull & Lock with 4 clip strips,,,China,Cell Phone Accessories,Charging Cables,788914298101,Bulk,10,1,"21"" x 8"" x 11""",1,1,10,1.07,https://www.deluxegm.com/products/?2-PULL-CS48
Wholesale 120pc Car Cell Phone Mount Display 120pc Car Cell Phone Mount Display. Assorted for Vent Mount & Suction Cup Style, 2-ASSTMOUNT-DSP,https://www.deluxegm.com/_products/_250x250/2-ASSTMOUNT-DSP.jpg,$2.50, Wholesale 120pc Car Cell Phone Mount Display, 120pc Car Cell Phone Mount Display. Assorted for Vent Mount & Suction Cup Style,,,China,Cell Phone Accessories,Mounts & Stands,Multiple UPCs,Bulk,30,1,"24"" x 16"" x 19""",1,1,30,4.22,https://www.deluxegm.com/products/?2-ASSTMOUNT-DSP
Wholesale Multi-use cell phone support - 60pc display Multi-use cell phone support stick - 60pc display. 6 colors, 2-HOLDER-DSP,https://www.deluxegm.com/_products/_250x250/2-HOLDER-DSP.jpg,$2.50, Wholesale Multi-use cell phone support - 60pc display, Multi-use cell phone support stick - 60pc display. 6 colors ,,,China,Cell Phone Accessories,Phone Accessories,788914010628,Bulk,48,1,"24"" x 20"" x 19""",1,1,48,5.28,https://www.deluxegm.com/products/?2-HOLDER-DSP
"Wholesale 36pc iPhone 6, 7, 8 & X Charging Sync Cable Tub 36pc iPhone 6, 7, 8 & X Charging Sync Cable Tub", 2-TUB-120,https://www.deluxegm.com/_products/_250x250/2-TUB-120.jpg,$1.25," Wholesale 36pc iPhone 6, 7, 8 & X Charging Sync Cable Tub"," 36pc iPhone 6, 7, 8 & X Charging Sync Cable Tub",,,China,Cell Phone Accessories,Charging Cables,788914545397,Counter Display,3,1,"5"" x 5"" x 8""",1,1,3,0.12,https://www.deluxegm.com/products/?2-TUB-120
Wholesale 48pc Cable Pet Display 48pc Cable Pet Display assorted styles, 26-1001,https://www.deluxegm.com/_products/_250x250/26-1001.jpg,$1.75, Wholesale 48pc Cable Pet Display, 48pc Cable Pet Display assorted styles ,,,China,Cell Phone Accessories,Phone Accessories,788914914209,Bulk,6,1,"18"" x 14"" x 8""",1,1,6,1.17,https://www.deluxegm.com/products/?26-1001
Wholesale 144pc Gel Sticky Phone Mat Display 144pc gel non slip sticky phone mat 2 pack super strong 6 assorted colors, 2-1109,https://www.deluxegm.com/_products/_250x250/2-1109.jpg,$1.10, Wholesale 144pc Gel Sticky Phone Mat Display, 144pc gel non slip sticky phone mat 2 pack super strong 6 assorted colors,,,China,Cell Phone Accessories,Mounts & Stands,788914024342,Bulk,44,1,"20"" x 16"" x 12""",1,1,44,2.22,https://www.deluxegm.com/products/?2-1109
Wholesale 36pc 3ft Type-C charge cord 36pc 3ft Type-C charge cord assorted, 2-JAR-60,https://www.deluxegm.com/_products/_250x250/2-JAR-60.jpg,$1.20, Wholesale 36pc 3ft Type-C charge cord, 36pc 3ft Type-C charge cord assorted,,,China,Cell Phone Accessories,Charging Cables,788914546448,Bulk,4,1,"12"" x 10"" x 6""",1,1,4,0.42,https://www.deluxegm.com/products/?2-JAR-60
"Wholesale 72pc 10ft Glow Cord Display 72pc 10ft Glow Cord Display packed with 36pc IP, 18pc Android & 18pc Type C cords.", 2-10GLOW-DSP,https://www.deluxegm.com/_products/_250x250/2-10GLOW-DSP.jpg,$5.00, Wholesale 72pc 10ft Glow Cord Display," 72pc 10ft Glow Cord Display packed with 36pc IP, 18pc Android & 18pc Type C cords.",,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,15,1,"22"" x 19"" x 7""",1,1,15,1.69,https://www.deluxegm.com/products/?2-10GLOW-DSP
Wholesale 24pc Sticky Gel Non Slip Phone Holder Display 24pc Sticky Gel Non Slip Phone Holder Display, 26-1004,https://www.deluxegm.com/_products/_250x250/26-1004.jpg,$1.50, Wholesale 24pc Sticky Gel Non Slip Phone Holder Display, 24pc Sticky Gel Non Slip Phone Holder Display,,,China,Cell Phone Accessories,Mounts & Stands,788914024342,Bulk,5,1,"18"" x 14"" x 7""",1,1,5,1.02,https://www.deluxegm.com/products/?26-1004
Wholesale 36pc Cell Phone Vent Car Mount Display 36pc Cell Phone Vent Car Mount Display, 26-1002,https://www.deluxegm.com/_products/_250x250/26-1002.jpg,$2.00, Wholesale 36pc Cell Phone Vent Car Mount Display, 36pc Cell Phone Vent Car Mount Display,,,China,Cell Phone Accessories,Mounts & Stands,788914010673,Bulk,19,1,"18"" x 14"" x 14""",1,1,19,2.04,https://www.deluxegm.com/products/?26-1002
Wholesale 36pc Car USB Charger Tub Car Single Usb Charger Tub Display Assorted Colors, 2-TUB-190,https://www.deluxegm.com/_products/_250x250/2-TUB-190.jpg,$1.00, Wholesale 36pc Car USB Charger Tub, Car Single Usb Charger Tub Display Assorted Colors,,,China,Cell Phone Accessories,Car Plugs,788914543270,Counter Display,5,1,"12"" x 6"" x 10""",1,1,5,0.42,https://www.deluxegm.com/products/?2-TUB-190
"Wholesale Wide angle lens kit (96pc display) Wide angle lens kit (96pc display) Each with 3 lenses, clip, and case", 2-LENS-DSP,https://www.deluxegm.com/_products/_250x250/2-LENS-DSP.jpg,$2.00, Wholesale Wide angle lens kit (96pc display)," Wide angle lens kit (96pc display) Each with 3 lenses, clip, and case",,,China,Cell Phone Accessories,Phone Accessories,788914016415,Bulk,18,1,"24"" x 20"" x 13""",1,1,18,3.61,https://www.deluxegm.com/products/?2-LENS-DSP
Wholesale 24Pc 12 Volt Dual Adapter Car Charger 24Pc 12 Volt Dual Adapter Car Charger Easy Grip Iphone 6 Plus 5S 5 4S Samsung, 2-JAR-40,https://www.deluxegm.com/_products/_250x250/2-JAR-40.jpg,$1.58, Wholesale 24Pc 12 Volt Dual Adapter Car Charger, 24Pc 12 Volt Dual Adapter Car Charger Easy Grip Iphone 6 Plus 5S 5 4S Samsung,,,China,Cell Phone Accessories,Car Plugs,788914545205,Bulk,2,1,"12"" x 5"" x 8""",1,1,2,0.28,https://www.deluxegm.com/products/?2-JAR-40
Wholesale 24Pc Wall Dual Light Up Home Charger 24Pc Wall Dual Light Up Home Charger Easy Grip Iphone 6 Plus 5S 5 4S Samsung, 2-JAR-43,https://www.deluxegm.com/_products/_250x250/2-JAR-43.jpg,$2.50, Wholesale 24Pc Wall Dual Light Up Home Charger, 24Pc Wall Dual Light Up Home Charger Easy Grip Iphone 6 Plus 5S 5 4S Samsung,,,China,Cell Phone Accessories,Wall Plugs,788914545229,Bulk,2,1,"12"" x 5"" x 8""",1,1,2,0.28,https://www.deluxegm.com/products/?2-JAR-43
Wholesale 72pc arm & waist cell phone holder display 72pc runner arm & waist cell phone holder assorted, 2-SPORT-DSP,https://www.deluxegm.com/_products/_250x250/2-SPORT-DSP.jpg,$3.60, Wholesale 72pc arm & waist cell phone holder display, 72pc runner arm & waist cell phone holder assorted,,,China,Cell Phone Accessories,Phone Accessories,Multiple UPCs,Bulk,22,1,"24"" x 20"" x 12""",1,1,22,3.33,https://www.deluxegm.com/products/?2-SPORT-DSP
Wholesale Bendable Phone Clamp 96 Pc Display Bendable Phone Clamp 96 Pc With Display Spinner Rack, 2-CLAMP-DSP,https://www.deluxegm.com/_products/_250x250/2-CLAMP-DSP.jpg,$2.00, Wholesale Bendable Phone Clamp 96 Pc Display, Bendable Phone Clamp 96 Pc With Display Spinner Rack,,,China,Cell Phone Accessories,Mounts & Stands,788914500501,Bulk,36,1,"24"" x 20"" x 16""",1,1,36,4.44,https://www.deluxegm.com/products/?2-CLAMP-DSP
Wholesale 108pc Finger Socket Cell Phone Holder & Stand Display 108pc Finger Socket Cell Phone Holder & Stand Display, 2-CELL-STAND,https://www.deluxegm.com/_products/_250x250/2-CELL-STAND.jpg,$1.80, Wholesale 108pc Finger Socket Cell Phone Holder & Stand Display, 108pc Finger Socket Cell Phone Holder & Stand Display,,,China,Cell Phone Accessories,Phone Accessories,788914547711,Floor Spinner Round,9,1,"32"" x 12"" x 11""",1,1,9,2.44,https://www.deluxegm.com/products/?2-CELL-STAND
Wholesale 144pc Display Finger Sockets Cell Phone Holder Display. 144pc Display Finger Sockets Cell Phone Holder Display. 72 mixed styles, 2-FINGER-144,https://www.deluxegm.com/_products/_250x250/2-FINGER-144.jpg,$2.00, Wholesale 144pc Display Finger Sockets Cell Phone Holder Display., 144pc Display Finger Sockets Cell Phone Holder Display. 72 mixed styles,,,China,Cell Phone Accessories,Phone Accessories,788914547711,Bulk,18,1,"22"" x 19"" x 8""",1,1,18,1.94,https://www.deluxegm.com/products/?2-FINGER-144
Wholesale 96pc Key Ring Charge Cord Display 96pc Key Ring Charge Cord Display. 48pc for Iphone. 24pc for Android. 24pc for Type-C with Display, 2-KEY-DSP,https://www.deluxegm.com/_products/_250x250/2-KEY-DSP.jpg,$2.25, Wholesale 96pc Key Ring Charge Cord Display, 96pc Key Ring Charge Cord Display. 48pc for Iphone. 24pc for Android. 24pc for Type-C with Display,,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,11,1,"22"" x 19"" x 7""",1,1,11,1.69,https://www.deluxegm.com/products/?2-KEY-DSP
Wholesale 10 Foot Phone Cord 96 Piece Display Incudes 48 IP & 24 Android & 24 Type C Charger Cords Plus Display, 100-RACK-96,https://www.deluxegm.com/_products/_250x250/100-RACK-96.jpg,$5.00, Wholesale 10 Foot Phone Cord 96 Piece Display, Incudes 48 IP & 24 Android  & 24 Type C Charger Cords Plus Display,,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,21,1,"22"" x 19"" x 8""",1,1,21,1.94,https://www.deluxegm.com/products/?100-RACK-96
Wholesale 24Pc Painted Earbuds With Volume Control 24Pc Painted Earbuds With Volume Control Beautiful Painted Styles Stylish Fashion, 2-JAR-59,https://www.deluxegm.com/_products/_250x250/2-JAR-59.jpg,$1.50, Wholesale 24Pc Painted Earbuds With Volume Control, 24Pc Painted Earbuds With Volume Control Beautiful Painted Styles Stylish Fashion,,,China,Cell Phone Accessories,Earbuds & Headphones,788914545137,Bulk,3,1,"13"" x 8"" x 5""",1,1,3,0.3,https://www.deluxegm.com/products/?2-JAR-59
Wholesale 36pc Android Charging Sync Cable Tub 36pc Android Charging Sync Cable Tub, 2-TUB-130,https://www.deluxegm.com/_products/_250x250/2-TUB-130.jpg,$1.25, Wholesale 36pc Android Charging Sync Cable Tub, 36pc Android Charging Sync Cable Tub,,,China,Cell Phone Accessories,Charging Cables,788914543249,Counter Display,3,1,"12"" x 7"" x 10""",1,1,3,0.49,https://www.deluxegm.com/products/?2-TUB-130
Wholesale 24pc Earbuds Counter Tub With Volume Control Earbuds With Volume Control Tub Display Assorted Colors, 2-TUB-210,https://www.deluxegm.com/_products/_250x250/2-TUB-210.jpg,$1.50, Wholesale 24pc Earbuds Counter Tub With Volume Control, Earbuds With Volume Control Tub Display Assorted Colors,,,China,Cell Phone Accessories,Earbuds & Headphones,788914543300,Counter Display,3,1,"12"" x 8"" x 7""",1,1,3,0.39,https://www.deluxegm.com/products/?2-TUB-210
"Wholesale 120pc Value Pack Phone Cords 4 pack 120pc Value Pack Phone Cords 4 pack. 60 Iphone, 30 Android & 30 Type C. Mixed. 6 colors each", 2-VP4-DSP,https://www.deluxegm.com/_products/_250x250/2-VP4-DSP.jpg,$4.80, Wholesale 120pc Value Pack Phone Cords 4 pack," 120pc Value Pack Phone Cords 4 pack. 60 Iphone, 30 Android & 30 Type C. Mixed. 6 colors each",,,China,Cell Phone Accessories,Charging Cables,Multiple UPCs,Bulk,48,1,"24"" x 20"" x 24""",1,1,48,6.67,https://www.deluxegm.com/products/?2-VP4-DSP
"Wholesale 100pc Magnetic 360 car phone mount 100pc magnetic 360 car phone rotating mount. 5 colors: red, black, gold, silver, rose", 2-MAG-DSP,https://www.deluxegm.com/_products/_250x250/2-MAG-DSP.jpg,$3.00, Wholesale 100pc Magnetic 360 car phone mount," 100pc magnetic 360 car phone rotating mount. 5 colors: red, black, gold, silver, rose",,,China,Cell Phone Accessories,Mounts & Stands,788914020504,Bulk,28,1,"25"" x 19"" x 12""",1,1,28,3.3,https://www.deluxegm.com/products/?2-MAG-DSP
